path,barrio,localidad,categoria,descripcion
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_02_Mar__a_Elsa_Peroni-10048.jpg,,Cosquín,General,Cosquin 02 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_03_Mar__a_Elsa_Peroni-10049.jpg,,Cosquín,General,Cosquin 03 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_04_Mar__a_Elsa_Peroni-10050.jpg,,Cosquín,General,Cosquin 04 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_05_Mar__a_Elsa_Peroni-10051.jpg,,Cosquín,General,Cosquin 05 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_07_Mar__a_Elsa_Peroni-10056.jpg,,Cosquín,General,Cosquin 07 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_08_Mar__a_Elsa_Peroni-10055.jpg,,Cosquín,General,Cosquin 08 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_09_Mar__a_Elsa_Peroni-10054.jpg,,Cosquín,General,Cosquin 09 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/cosquin_10_Mar__a_Elsa_Peroni-10053.jpg,,Cosquín,General,Cosquin 10 Mar A Elsa
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Dique_San_Roque_145_Daniel_Etchemendy-10031.jpg,,Córdoba Capital,Diques y Ríos,Dique San Roque 145 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/Dique_San_Roque_146_Daniel_Etchemendy-10032.jpg,,Córdoba Capital,Diques y Ríos,Dique San Roque 146 Daniel
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/estacion_terminal_de_omnibus_cordoba_04_Raul_Eduardo_Domingo-10027.jpg,,Córdoba Capital,Puentes y Ferrocarril,Estacion Terminal De Omnibus Cordoba 04 Raul Eduardo
/home/kpalacio/Documentos/buentek/cordoba_de_antaño/www.xn--cordobadeantao-2nb.com.ar/images/igallery/original/10001-10100/la_ca__ada_cordoba_17_santiago_reyna-10020.jpg,,Córdoba Capital,General,La Ca Ada Cordoba 17 Santiago Reyna-10020.Jpg
